X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,Y (output)
60,11.14316696,4,3,3,16.23,1196,6275,14356.6,0.43,104.58,209.16,410,127
20,14,3.75,3.25,3,16.23,280,1725,3412.5,0.5,86.25,172.5,540,127
7,11.14865032,3.5,3,3,16.23,38,50,399,0.12,7.14,7.14,570,128
75,23,3.5,3,3,16.23,1725,11275,18113,0.62,150.33,300.67,310,126
23,14,3.5,3,3,16.23,322,1750,3381,0.51,76.8,152.17,470,112
49,11.17670891,3,2.5,2.8,16.23,257.24,870,1929.37,0.45,16.66,33.56,240,112
43,11.17670891,3.5,3,2.5,16.23,519,3150,5449.5,0.57,73.25,146.51,410,120
32,18,3.6,3.2,3,16.23,576,3650,6636,0.55,114.06,228.12,380,106
43,11.18965633,3.6,3.2,3,16.23,670,4850,7718,0.62,112.79,225.58,570,106
75,11.18965633,3,2.5,3,16.23,420,1750,3150,0.55,23.33,46.67,340,106
30,10,3.5,3,3,9.9,300,1650,3150,0.52,55,55,320,131
54,7,2.5,2.5,2.8,13.76,378,1575,2362.5,0.66,29.16,58.33,316,130
16,18,3.6,3.2,3,8.76,288,2150,3318,0.64,134.37,268.75,310,128
60,6,3,2.5,3,14.9,360,1200,2700,0.45,20,40,320,125
27,13,3.5,3,3,9.9,351,1925,3685.5,0.52,71.29,142.59,330,119
10,12,3.5,3,3,9.9,120,725,1260,0.57,72.5,155,340,116
77,23,4,3,3,9.9,1771,10075,21252,0.47,130.84,261.68,430,120
56,11,3.5,3,3,9.9,616,3525,6468,0.54,62.94,125.94,410,121
28,11.20917728,2.5,2,2.5,9.9,108,233.34,540,0.43,15.73,31.47,380,123
72,7.5,3,3,3,9.9,540,2500,4860,0.51,34.72,69.44,360,124
70,7.5,3.5,3.2,3,9.9,560,3241.7,5880,0.55,46.31,92.62,340,125
24,7,3.5,3,3,9.9,168,800,1764,0.45,33.3,66.6,420,122
80,11.18768461,3,2.5,3,9.9,590,2475,4425,0.55,30.93,61.86,280,124
30,11.18768461,3,3,3,9.9,210,975,1890,0.51,32.5,65,420,106
36,15,3,2.7,3,11.9,540,3000,4374,0.68,83.33,166.66,360,106
31,11.19469255,3,3,3,10.2,189,750,1701,0.44,24.19,24.19,410,106
58,11.19469255,3,3,3,15.6,435,2175,3915,0.55,37.5,37.5,370,106
51,25,4.2,3.2,3,17.28,1275,9225,17316,0.53,180.88,361.76,390,126
35,25,4.2,3.2,3,17.28,875,5000,11760,0.42,142.85,285/75,380,127
